import_type,topic_number,topic_name,question_number,position,statement,option_a,option_b,option_c,option_d,correct_option,source_name
TOPIC,1,Tema 1,112,112,El artículo 2 de la Constitución se refiere a la unidad de la Nación española calificándola como:,Indisoluble.,Indivisible.,Patria común.,Todas las respuestas son correctas.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,113,113,Cual de las siguientes afirmaciones NO es cierta; La Constitución Española (CE):,Define a España como un Estado Social y Democrático de Derecho.,Menciona y recoge expresamente a sindicatos de trabajadores y a asociaciones empresariales.,"Contempla el derecho a la Igualdad de los españoles/as, inclusive en la sucesión a la Corona.",Garantiza la irretroactividad de las disposiciones sancionadoras.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,114,114,El castellano es la lengua oficial del Estado Español. Todos los españoles:,Tienen el deber de conocerla y de usarla.,Tienen el deber de conocerla y el derecho de usarla.,Tienen el derecho de conocerla y usarla.,Tienen el deber de usarla en todos los escritos dirigidos a las Administraciones públicas.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,115,115,Los derechos y deberes fundamentales los recoge la Constitución Española en:,El Título Preliminar.,El Título I.,El Título II.,El Título III.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,116,116,El artículo 5 de la Constitución dice:,La capital de España es la villa de Madrid.,La capital del Estado se fija en la villa de Madrid.,La capital del Estado es la villa de Madrid.,La capital del Reino de España es la villa de Madrid.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,117,117,En qué fecha aprobaron las Cortes Generales la Constitución Española:,El 31 de octubre de 1978.,El 6 de diciembre de 1978.,El 27 de diciembre de 1978.,El 29 de diciembre de 1978.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,118,118,La ley que modificó sustancialmente los esquemas de las anteriores Leyes Fundamentales es:,La Constitución española de 1978.,"Ley 1/1977, de 4 de enero, para la Reforma Política.",Leyes de las Cortes de 1979.,Ninguna de las respuestas es correcta.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,119,119,La Constitución española se estructura en:,Once títulos incluyendo el Título Preliminar.,Diez títulos incluyendo el Título Preliminar.,Once títulos más el Título Preliminar.,Once títulos más el Título Preliminar.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,120,120,"Los principios básicos generales de nuestra Constitución, se encuentran recogidos en su:",Título I.,Título Preliminar.,Preámbulo.,Título II.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,121,121,Constitución Española. El Título VIII. Qué artículos comprende de la Constitución:,Artículos 1 a 10.,Artículos 56 a 65.,Artículo 137 a 158.,Artículos 159 a 165.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,122,122,La riqueza de las distintas modalidades lingüísticas de España:,Es un patrimonio histórico que deberá ser desarrollado exclusivamente por las Comunidades Autónomas afectadas.,Es un patrimonio cultural cuya gestión corresponderá al Estado.,Es un patrimonio cultural que será objeto de especial respeto y protección.,Es un patrimonio histórico que precisa de la coordinación entre las administraciones.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,123,123,En relación con la reforma de la constitución:,Los proyectos de reforma constitucional deberán ser aprobados por una mayoría de tres quintos de cada una de las cámaras.,La reforma de la constitución deberá someterse a referéndum para su ratificación.,En caso de reforma total de la constitución deberá aprobarse por una mayoría de dos tercios del congreso y tres quintos del senado.,Todas son ciertas.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,124,124,"El Preámbulo de la Constitución Española proclama la voluntad inspiradora de la misma, estableciendo unos principios inspiradores. Indica la respuesta correcta:",Promover las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas.,"Garantizar la libertad ideológica, religiosa y de culto de los individuos y las comunidades.",Colaborar en el fortalecimiento de unas relaciones pacíficas y de eficaz cooperación entre todos los pueblos de la tierra.,Promover el progreso social y de la economía para asegurar a todos una digna calidad de vida.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,125,125,De conformidad con la Constitución la forma política del Estado español es:,La democracia parlamentaria.,El estado social y democrático de derecho.,El estado autonómico de derecho.,Ninguna de las respuesta anteriores es correcta.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,126,126,Cuál de los siguientes es considerado por la Constitución Española como uno de los valores superiores del ordenamiento jurídico:,La jerarquía normativa.,El pluralismo político.,La publicidad normativa.,La equidad.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,127,127,"Según la DISPOSICIÓN DEROGATORIA de la Constitución Española de 1978, queda derogada entre otras normas:","La Ley 1/1977, de 24 de enero, para la Reforma Política.","El Fuero de los Españoles, de 17 de julio de 1942.","La Ley Constitutiva de las Cortes, de 17 de julio de 1945.",Ley de Referéndum Nacional de 22 de octubre de 1945.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,128,128,Según dispone el artículo 5 de la Constitución española:,Los Estatutos podrán reconocer banderas y enseñas propias de las Comunidades Autónomas. Éstas se utilizarán junto a la bandera de España en sus edificios públicos y en sus actos oficiales.,La capital del Estado es la villa de Madrid.,"La bandera de España está formada por tres franjas horizontales: amarilla, roja y amarilla, siendo la roja de doble anchura que las amarillas.",La capital de España antes de Madrid fue Valladolid.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,129,129,La iniciativa de reforma constitucional se ejercerá en los términos previstos en:,Los apartados 1 y 2 del artículo 87 de la Constitución.,Los apartados 1 y 2 del artículo 89 de la Constitución.,El artículo 87 de la Ley Orgánica del Poder Judicial.,Los apartados 1 y 2 del artículo 89 de la ley de Reforma Política.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,130,130,Los partidos políticos:,Son instrumento fundamental para la participación política.,Expresan el pluralismo ideológico en todos los campos.,Concurren a la formación de la voluntad institucional.,Participan en la manifestación de la voluntad de las agrupaciones políticas.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,131,131,"De conformidad con el artículo 1 de la Constitución Española, España se constituye en un un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico:","La unidad de la nación española, patria común e indivisible de todos los españoles.","La libertad, la justicia, la igualdad y el pluralismo político.",La seguridad jurídica y la interdicción de arbitrariedad de los poderes públicos.,"La libertad, la igualdad, la unidad y el pluralismo político.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,132,132,Qué parte de la Constitución española de 1978 no tiene fuerza jurídica:,Todas las partes de la Constitución tienen fuerza jurídica.,Las Disposiciones adicionales.,El Título Preliminar.,El Preámbulo.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,133,133,La lengua oficial del Estado es:,El idioma autóctono en aquellas comunidades que gocen de lengua propia.,El castellano.,El español.,El castellano en aquellas comunidades autónomas que no sean bilingües.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,134,134,Cuando la bandera de España se utilice junto a otras banderas autonómicas en edificios públicos y actos oficiales:,Deberá tener el mismo o inferior tamaño que el resto de las banderas autonómicas.,Deberá colocarse a la misma altura que el resto de las banderas autonómicas.,Ocupará lugar preeminente y de máximo honor.,Ninguna es correcta.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,135,135,España se constituye en un Estado Social y Democrático de Derecho que tiene como valores superiores:,La libertad y la justicia.,La igualdad y el pluralismo político.,Ambas respuestas son incorrectas.,Ambas respuestas son correctas.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,136,136,"La Constitución Española de 1978, fue sancionada y promulgada por su majestad el Rey:",El 27 de diciembre de 1978.,El 31 de octubre de 1978.,"La Constitución no es sancionada y promulgada por el Rey, sino por el pueblo español el 6 de diciembre de 1978.",Ninguna respuesta es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,137,137,"En relación con la estructura y contenido de la Constitución Española, señala la afirmación incorrecta:","La Constitución Española de 1978 consta de un Preámbulo, un Título Preliminar, diez Títulos, 4 Disposiciones Adicionales, 9 Disposiciones Transitorias, 1 Disposición Derogatoria y 1 Disposición Final. Es un texto articulado, distribuyéndose los Títulos en un total de 169 artículos.","El Título VIII de la Constitución Española, De la Organización Territorial del Estado comprende los artículos 137 a 158.","El Título IV de la Constitución Española, Del Gobierno y la Administración comprende los artículos 97 a 106.","La Sección 1a del Capítulo Segundo del Título I de la Constitución Española se denomina, De los derechos fundamentales y las libertades públicas.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,138,138,"Según la Constitución Española artículo 1.1, establece que:",España se constituye en un Estado social y democrático de derecho.,España es un Estado aconfesional y asocial defensor de valores superiores.,España es un Estado democrático de derecho.,Ninguna de las anteriores es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,139,139,La parte dogmática de la Constitución de 1978 contiene:,Los principios constitucionales.,Derechos y deberes de la ciudadanía.,Los principios rectores de la política económica y social.,Todas las respuestas son ciertas.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,140,140,El artículo 9.3 de la Constitución establece la:,Irretroactividad de las disposiciones sancionadoras no favorables.,Solidaridad interterritorial.,"Irretroactividad de las disposiciones, favorables o no.",Irretroactividad de los actos administrativos expropiatorios.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,141,141,"Según la Constitución, corresponde a los poderes públicos promover las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas, y además:","Remover lo obstáculos que impidan o dificulten su plenitud y facilitar la participación de todos los ciudadanos en la vida política, económica, cultural y social.","Remover los obstáculos que impidan o dificulten su plenitud y facilitar la participación de todos los ciudadanos en la vida política, sindical y social.","Se garantiza la libertad ideológica, religiosa y de culto de los individuos y las comunidades sin más limitación.",Ninguna es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,142,142,Corresponde la iniciativa de reforma constitucional a:,"Exclusivamente al Gobierno, al Congreso y al Senado.",Exclusivamente al Congreso y al Senado.,"AI Gobierno, al Congreso y al Senado entre otros.",Al pueblo español mediante una iniciativa popular.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,143,143,"Para la Constitución, los poderes del Estado emanan de:",La propia Constitución.,El pueblo español.,La indisoluble unidad de la Nación española.,El ordenamiento jurídico.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,144,144,"De acuerdo con la Constitución Española, la bandera de España está formada por tres franjas, roja, amarilla y roja:","Verticalmente colocadas, siendo la roja de doble anchura que cada una de las amarillas.","Verticalmente colocadas, siendo la amarilla de doble anchura que cada una de las rojas.","Horizontalmente o verticalmente colocadas, siendo la amarilla de doble anchura que cada una de las rojas.",Ninguna es correcta,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,145,145,La Constitución Española de 1978 en su artículo 2 establece:,"Se fundamenta en la indisoluble unidad de la nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.","La soberanía nacional reside en el pueblo español, del que emanan los poderes del Estado.","España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.",La forma política del Estado español es la Monarquía parlamentaria.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,146,146,"Según el art. 1 de la Constitución Española, España se constituye en:","En un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.","En un Estado cultural y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.","En un Estado social y programático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.","España se constituye en un Estado laico y programático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.",A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,147,147,Las banderas de las Comunidades Autónomas se utilizarán junto a la de España. Dónde y cuándo:,En sus organismos y estatutos.,En sus actos públicos y edificios oficiales.,En sus actos oficiales y edificios públicos.,Todas son correctas.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,148,148,"Completa el párrafo siguiente: La Constitución garantiza el principio de legalidad, la jerarquía normativa, la publicidad de las normas ………… la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos:",La retroactividad de las disposiciones sancionadoras favorables no restrictivas de derechos individuales.,La irretroactividad de las disposiciones sancionadoras no favorables no restrictivas de derechos individuales.,La retroactividad de las disposiciones favorables no restrictivas de derechos individuales.,La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,149,149,La Constitución pretende ofrecer una solución al problema de la diversidad territorial en la unidad:,"Fundamentándose en la indisolubilidad de la unidad de la Nación española y, al mismo tiempo, reconociendo el derecho a la autodeterminación de las nacionalidades y regiones que la integran.",Reconociendo el derecho a la independencia de las distintas nacionalidades y regiones que integran la nación.,"Fundamentándose en la indisoluble unidad de la Nación española, pero reconociendo y garantizando, al mismo tiempo, el derecho a la autonomía de las nacionalidades y regiones y la solidaridad entre todas ellas.",Ninguna de las respuestas es cierta.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,150,150,El artículo 3.3 de la Constitución española establece:,"La riqueza de las distintas modalidades lingüísticas de España es un patrimonio y un bien cultural que será objeto de especial respeto y protección, debido a su singularidad.",La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural que será objeto de especial respeto y protección.,"La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural que será objeto de especial respeto y protección, debido a su singularidad.","La riqueza de las distintas modalidades lingüísticas de España, debido a su singularidad, es un patrimonio cultural que será objeto de especial respeto y protección.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,151,151,En qué fecha aprueban el Congreso y el Senado el texto constitucional Español definitivo:,El 6 de Diciembre de 1978.,El 29 de Diciembre de 1978.,El 27 de Diciembre de 1978.,El 31 de Octubre de 1978.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,152,152,El procedimiento agravado de reforma constitucional se considera una garantía prevista para:,Los derechos reconocidos en la Sección Primera del Capítulo Segundo del Título Primero.,Los derechos y libertades reconocidos en el Capítulo Segundo del Título Primero.,Todos los derechos contenidos en el Título l.,Los derechos reconocidos en el Capítulo Tercero del Título Primero.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,153,153,Una de las siguientes materias no es regulada en el Título Preliminar de la Constitución Española:,Las Cortes Generales.,Las Asociaciones de Empresarios.,Las Fuerzas Armadas.,Los Partidos Políticos.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,154,154,La suspensión de los derechos y libertades se recoge en nuestro ordenamiento jurídico:,"Al tratarse de derechos y libertades, no se contempla la suspensión de los mismos.",En el Título I Capítulo 5° de la CE.,En el Título Preliminar Capítulo 5° de la CE.,En el Título I Capítulo 2° Secciones 1 y 24.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,155,155,"Según la Constitución, respecto a los partidos políticos, no es cierto que:",Expresan el pluralismo político.,El ejercicio de su actividad es libre dentro del respeto a la Constitución y a la ley.,Su estructura interna deberá ser democrática.,Contribuyen a la defensa y promoción de los intereses que le son propios.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,156,156,"De acuerdo con el artículo 9º de la Constitución Española, facilitar la participación de todos los ciudadanos en la vida política, corresponde a:",Las Cortes Generales.,Los partidos políticos.,Los sindicatos y los partidos políticos.,Los poderes públicos.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,157,157,El referéndum en el que se aprobó popularmente la Constitución se llevó a cabo el:,1978-12-27 .,1978-12-06 .,1978-10-31 .,1979-12-29 .,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,158,158,Dónde viene recogida la forma y los colores de la bandera de España:,Artículo 4 de la Constitución Española de 1978.,Artículo 5 de la Constitución Española de 1978.,Artículo 6 de la Constitución Española de 1978.,Ninguna de las anteriores respuestas es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,159,159,"Según al artículo 9 de la Constitución, Corresponde a los poderes públicos promover las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas Y además:","Remover los obstáculos que impidan o dificulten su plenitud y facilitar la participación de todos,los ciudadanos en la vida política, económica, cultural y social.","Remover los obstáculos que impidan o dificulten su plenitud y facilitar la participación de todos los ciudadanos en la vida política, sindical y social.","Se garantiza la libertad ideológica, religiosa y de culto de los individuos y las comunidades sin más limitación.",Ninguna es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,160,160,"Según la Constitución, las lenguas españolas, sin perjuicio del castellano, son:","De uso voluntario por los ciudadanos españoles ante todas las Administraciones Públicas en toda España, sin ninguna limitación ni condición.",De uso obligatorio por los ciudadanos españoles ante todas las Administraciones Públicas por sus conocedores.,Oficiales en las respectivas Comunidades Autónomas de acuerdo con lo previsto  en sus respectivos Estatutos de Autonomía.,No existen otras lenguas oficiales que no sean el español o castellano.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,161,161,"Las materias que gozan de especial protección, a efectos de reforma constitucional, son las contenidas en:","Los Títulos Preliminar, I, II y III.",Los Títulos I y II.,"Los Títulos Preliminar, I (en su Capítulo 2º, Sección 1ª) y II.","Los Títulos Preliminar, I y II.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,162,162,Qué artículos contempla el Título Preliminar de la Constitución Española:,Del artículo 1 al 10.,Del artículo 1 al 11.,Del artículo 1 al 12.,Del artículo 1 al 9.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,163,163,Los partidos políticos:,Son órganos del Estado.,Son órganos del Gobierno.,No son órganos del Estado.,Son órganos del Estado cuando han conseguido representación parlamentaria.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,164,164,De acuerdo con lo establecido en la Constitución Española:,Los Estatutos de Autonomía no podrán reconocer banderas y enseñas propias de las Comunidades Autónomas.,Un Decreto-ley regulará las bases de las organización militar.,La Constitución se fundamenta en la indisoluble unidad de la Nación española.,La soberanía nacional reside en las Cortes Generales.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,165,165,El artículo 9.3 de la Constitución española garantiza los principios de:,Autonomía de las entidades locales.,Igualdad y libertad.,"Legalidad, la jerarquía normativa, la publicidad de las normas, la irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.",Ninguna de las anteriores es correcta.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,166,166,Señala cuál de las siguientes afirmaciones no es correcta:,"España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.","La soberanía nacional reside en el pueblo español, del que emanan los poderes del Estado.",La forma política del Estado español es la Monarquía parlamentaria.,"La Constitución se fundamenta en la disoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.",D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,167,167,"Según la Constitución, el castellano es la lengua española oficial del estado. Todos los españoles tienen:",Deber de usarla.,Derecho a conocerla.,Derecho a conocerla y deber de usarla.,Deber de conocerla y derecho a usarla.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,168,168,Conforme determina la vigente Constitución Española:,"España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.","La Constitución garantiza el principio de soberanía, la jerarquía normativa, la publicidad de las normas, la retroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.",La forma política del Estado español es la Monarquía representativa.,"La soberanía nacional reside en las Cortes Generales, del que emanan los poderes del Estado.",A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,169,169,La Constitución se fundamenta en:,La Unidad de la Nación Española.,El compromiso de unidad de todos los pueblos y nacionalidades integrantes de la Nación Española.,La indisoluble unidad de la Nación Española.,La pluralidad de pueblos integrantes de la Nación Española.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,170,170,Los artículos de la Constitución Española de 1978 se encuentran ordenados en:,"Un Título Preliminar, nueve Títulos, cuatro Disposiciones Adicionales, diez Disposiciones Transitorias, una Disposición Derogatoria y una Disposición Final.","Un Título Preliminar, diez Títulos, nueve Disposiciones Adicionales, cuatro Disposiciones Transitorias, una Disposición Derogatoria y una Disposición Final.","Un Título Preliminar, diez Títulos, cuatro Disposiciones Adicionales, nueve Disposiciones Transitorias, una Disposición Derogatoria y una Disposición Final.","Un Título Preliminar, diez Títulos, cuatro Disposiciones Adicionales, once Disposiciones Transitorias, una Disposición Derogatoria y una Disposición Final.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,171,171,"Aprobada la reforma parcial de la Constitución, siempre que no afecte al Título Preliminar, a la Corona y a los derechos fundamentales y libertades públicas, será preceptiva su ratificación en referéndum:","Sí, es obligatoria.","Sí, cuando lo soliciten la mayoría de los miembros de cualquiera de las Cámaras.","Sí, cuando lo soliciten la mayoría absoluta de los miembros de cualquiera de las Cámaras.","No, salvo cuando lo soliciten una décima parte de los miembros de cualquiera de las Cámaras.",D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,172,172,En qué artículo viene recogida la forma y los colores de la bandera de España:,Artículo 6 de la Constitución Española de 1978.,Artículo 5 de la Constitución Española de 1978.,Artículo 4 de la Constitución Española de 1978.,Ninguna de las anteriores respuestas es correcta.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,173,173,El Preámbulo de la Constitución Española recoge:,"La proclamación de los principios, aspiraciones y valores que se quieren alcanzar.",Los derechos fundamentales de los españoles.,La voluntad popular.,Los principios básicos generales del Estatuto.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,174,174,"Según la Constitución Española de 1978, España se constituye en:",Un Estado Social y Descentralizado de Derecho.,Un Estado Social y Democrático de Derecho.,"Un Estado laico, monárquico y de Derecho,.","Un Estado Social, Laico, Monárquico y de Derecho.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,175,175,"El castellano es la lengua española oficial del estado y conforme la Constitución Española, todos los españoles tienen:",Derecho a conocerla y deber de usarla.,Derecho a conocerla.,Deber de conocerla y derecho a usarla.,Deber de usarla.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,176,176,Diga qué frase es el artículo 4.1 de la Constitución Española de 1978:,"La bandera de España está formada por tres franjas horizontales, roja, amarilla y morada.","La bandera de España está formada por tres franjas horizontales, roja, amarilla y roja, siendo la amarilla de doble anchura que cada una de las rojas.","La bandera de España está formada por tres franjas horizontales, roja, amarilla y roja.","La bandera de España está formada por dos franjas horizontales, amarilla y roja.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,177,177,El artículo 9 de la Constitución española se subdivide en tres párrafos. En el primero:,Se atribuye a los poderes públicos la facultad de promover las condiciones necesarias para que la libertad y la integridad de los individuos y de los grupos sean efectivas.,Todos los españoles y extranjeros están sujetos a la Constitución y al resto de las Leyes.,Se dispone que los ciudadanos y los poderes públicos están sujetos a la Constitución y al resto del ordenamiento jurídico.,Se garantiza el derecho al honor.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,178,178,"Según la CE de 1978, a quién corresponde promover las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas:",Al Gobierno de la Nación.,Al Estado.,Al defensor del Pueblo.,A los poderes públicos.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,179,179,"""España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores  de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político."" Esta definición de  España se encuentra recogida en el:",Artículo 5 de la Constitución Española de 1978.,Artículo 3 de la Constitución Española de 1978.,Artículo 2 de la Constitución Española de 1978.,Artículo 1 de la Constitución Española de 1978.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,180,180,Qué principio de los regulados en el artículo 9.3 de la Constitución está conectado con lo regulado en el artículo 121 de la misma sobre los daños causados por error judicial:,El principio de interdicción de la arbitrariedad de los poderes públicos.,El principio de seguridad jurídica.,El principio de responsabilidad de los poderes públicos.,El principio de irretroactividad de las disposiciones sancionadoras.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,181,181,La vigente Constitución española fue aprobada por su majestad el Rey el día:,1978-12-27 .,1978-10-31 .,"La constitución no es aprobada por el Rey, sino por el pueblo español el 6 de diciembre de 1978.","La constitución no es aprobada por el Rey, sino por el parlamento Español el 31 de Octubre de 1978.",D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,182,182,"Tal y como establece el artículo 4.1 de la Constitución Española de 1978, la bandera de España está formada por:","Tres franjas horizontales, roja amarilla y roja, siendo la amarilla de doble anchura que cada una de las rojas.","Tres franjas horizontales, amarilla, roja y amarilla, siendo la roja de doble anchura que cada una de las amarillas.","Tres franjas horizontales, roja amarilla y morada, siendo todas ellas del mismo grosor y anchura.","Tres franjas horizontales, roja amarilla y roja, siendo la amarilla de triple anchura que cada una de las rojas.",A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,183,183,"La Constitución se fundamenta en la indisoluble unidad de la nación española, pero al mismo tiempo:",Reconoce el derecho a la autonomía de las nacionalidades que la integran.,Garantiza el derecho a la autonomía de las regiones que la integran.,Reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran.,Reconoce y garantiza el derecho a la autonomía de las Comunidades Autónomas que la integran.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,184,184,Para iniciar el procedimiento de reforma de la Constitución se excluye la iniciativa:,Del Gobierno de la Nación.,Del Congreso de los Diputados.,Del Senado.,La iniciativa popular.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,185,185,La Constitución reconoce y garantiza el derecho a:,La autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.,"La Justicia, La Igualdad y el pluralismo político.",La Indisoluble unidad de la Nación Española.,La soberanía nacional de la que emanan los poderes del Estado.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,186,186,"La CE, hace referencia en su artículo 4.2:",A las enseñas de las Comunidades Autónomas.,A las banderas de otras entidades menores como las municipales.,Al himno nacional.,Al escudo de España.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,187,187,De acuerdo con lo establecido en la Constitución Española:,Los Estatutos de Autonomía no podrán reconocer banderas y enseñas propias de las Comunidades Autónomas.,Un Decreto-ley regulará las bases de las organización militar.,La Constitución se fundamenta en la disoluble unidad de la Nación española.,Ninguna es correcta.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,188,188,De acuerdo con la Constitución Española de 1978 la soberanía nacional:,Reside en los ciudadanos mayores de edad.,Reside en el pueblo español.,Reside en el Rey.,Reside en el Congreso y en el Senado.,B,Preguntas de Examenes Agente - Tema 1
